,,SL 1,SL 2,RUG 1,RUG 2,RUG 3,NC 1,NC 2,NC 3,NE 1,NE 2,NE 3
16-Apr,Tue,,RUG 3,RUG 2,,,,SL 1,NC 1,bye,NE 3,
20-Apr,Sat,NC 1,bye,NC 2,,,,,NE 1,,RUG 2,RUG 3
23-Apr,Tue,bye,bye,,NC 1,RUG 1,,NC 3,,NE 2,,bye
27-Apr,Sat,bye,,,NE 3,NC 3,NE 2,SL 2,,RUG 1,,
30-Apr,Tue,NE 2,,SL 2,RUG 3,,NC 2,,bye,,,NE 1
4-May,Sat,,RUG 2,NE 3,,,RUG 3,,SL 1,NC 2,bye,
7-May,Tue,SL 2,,bye,bye,bye,bye,bye,bye,bye,bye,bye
11-May,Sat,RUG 1,,,NC 3,bye,NE 1,,,,SL 2,NC 2
18-May,Sat,,NC 1,,bye,NE 2,,RUG 1,NE 3,SL 1,,
21-May,Tue,,NE 1,,RUG 1,SL 1,NC 3,bye,,,,NE 2
1-Jun,Sat,RUG 2,,RUG 3,,,bye,,NC 2,,NE 1,SL 2
8-Jun,Sat,,SL 1,bye,,RUG 2,,NC 1,,NE 3,NC 3,
